,text,emotion,sentiment
0,face blow good okayiss face blow good okayiss real soon,empty,negative
1,full body hill crazy young thank whyoyou repost seren applicablewilliams real soon,empty,negative
2,night cloyoudwhy still let get shine shine young thank tomorrow let happy syouandawhy okayeep shin good sparokayles sparokayles sparokayles roberthank youflacokay oneofmwhygreatestinspirations return favour,empty,negative
3,gem stone gem stone gem stone let young applicablefraidentity chant good learn dominiinot good somewhere even imagine seandinot good love greatness coyourage strenot good let good sparokayles sparokayles sparokayles return favour,love,positive
4,want thank thank youokaye moment thank stand love brother okayaeperight nowicokay whats upeproyoud let get whyoyou loserokay way whyoyou share shine sparokayles sparokayles fierce love good line okaynow nessnitthanku purple heart purple heart purple heart seandinot good youltifriend love whyoyou back topic hyouandred point thank hyouandred point thank hyouandred point thank sparokayles sparokayles sparokayles,love,positive
5,purple heart purple heart purple heart smile good face heart smile good face heart smile good face heart,empty,negative
6,lawhyinot good basokayinot good warmth whyoyou seandinot good aftewatake carehinot good raise man identity identity whyoyou see genesister intoxicatedtle smile loyoudlwhy crwhyinot good face loyoudlwhy crwhyinot good face loyoudlwhy crwhyinot good face love drop good secret surprise fowhyoyou aanddd soyoul lyric ep many vibe crwhysthank ball crwhysthank ball crwhysthank ball,surprise,positive
7,drop something good studio want thank vibeeeee friend gen energy felt right room want thank share whyoyou feel blogotheqyoue,empty,negative
8,swan fire fire fire roar laughter,empty,negative
9,roar laughter,empty,negative
10,okay whyoyou worst best feel okayeep worokayinot good whyoyougreatness vision vision vision cannot cannot cannot sparokayles sparokayles sparokayles school,empty,negative
11,neveforget day paris rest power tryoulwhy younintelligent quotientyoue iandividentityyoual okayarllagerfeld purple heart purple heart purple heart sparokayles sparokayles sparokayles school,empty,negative
12,art powerful cont goodreads therealswiboring dean commentollection amp niavassell fo dreamweavers show youthank artist space til proud amaze good artist get good recologicalgood nightition miss whyoyoure lt fire direct sino good lee amp sylvia zaokayharwhy emergency,empty,negative
13,proud example prodyouceon hyoustlevice air good tonight johnhenrwhysthankule amp market youscoookays show fresh exampleplorinot good thank youokayes maokaye eno thanksrepreneyouin empire thank route air good every syouandawhy pm vicelaand tell thinokay tonight pm vicelaand emergency,empty,negative
14,today millie whyoyou beayoutifyoul soul bring good one faaaaavoright totally agreebaokayesonot good minute identity note oh god love checokay instant yougram story demo careatinot good sont good whyoyou seandinot good love amp let get infiltrate whyoyouspace purple heart purple heart purple heart sister,love,positive
15,theellenshow loookays linkage get competition face tear face tear face tear sister,empty,negative
16,feel bless raise boy love different thank otheaand much teach share bout font tell whyoyoustorwhy bacokayhaand iandexample point thanksinot good right medium sokayin tone raiseaman checokay story red heart red heart red heart somehow,love,positive
17,energy feel electric high volthank rouge high volthank rouge high volthank rouge connect anothelevel somehow,empty,negative
